Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,47.000000,47.200001,46.660000,46.820000,46.134350,1750600
2019-10-02,46.639999,46.799999,46.119999,46.160000,45.484009,1937700
2019-10-03,46.290001,46.939999,45.950001,46.770000,46.085079,1593100
2019-10-04,46.939999,47.419998,46.779999,47.340000,46.646729,1573000
2019-10-07,47.060001,47.380001,46.799999,47.000000,46.311710,909700
2019-10-08,47.009998,47.220001,46.660000,46.770000,46.085079,1609300
2019-10-09,46.590000,46.840000,46.380001,46.830002,46.492123,995000
2019-10-10,46.590000,47.380001,46.529999,47.320000,46.978584,2402300
2019-10-11,47.320000,47.470001,46.820000,46.869999,46.531830,1954200
2019-10-14,46.880001,47.020000,46.549999,46.830002,46.492123,2255400
2019-10-15,46.830002,46.830002,45.770000,46.610001,46.273708,1592300
2019-10-16,46.610001,47.200001,46.529999,47.169998,46.829666,1498300
2019-10-17,47.500000,48.380001,47.349998,47.959999,47.613968,2886800
2019-10-18,47.900002,48.230000,47.540001,47.560001,47.216854,2235300
2019-10-21,47.560001,48.200001,47.560001,47.889999,47.544472,1846600
2019-10-22,48.000000,48.000000,47.450001,47.669998,47.326057,2143700
2019-10-23,47.709999,48.070000,47.450001,47.799999,47.455120,1784300
2019-10-24,47.630001,47.740002,46.730000,47.080002,46.740318,1854900
2019-10-25,47.180000,47.180000,46.270000,46.459999,46.124790,1544600
2019-10-28,46.410000,46.570000,46.070000,46.560001,46.224072,1588900
2019-10-29,46.759998,47.020000,46.349998,46.490002,46.154575,1973700
2019-10-30,46.630001,46.810001,46.029999,46.270000,45.936161,1098600
2019-10-31,46.349998,46.779999,46.009998,46.310001,45.975872,1637000
2019-11-01,46.270000,46.860001,46.189999,46.540001,46.204212,1254000
2019-11-04,46.439999,46.619999,46.070000,46.340000,46.005657,1212700
2019-11-05,46.270000,46.799999,46.250000,46.490002,46.154575,1420400
2019-11-06,46.590000,47.060001,46.529999,46.599998,46.263779,1381100
2019-11-07,46.959999,47.130001,46.180000,46.419998,46.085075,2025600
2019-11-08,46.380001,46.400002,45.910000,46.250000,45.916306,1257900
2019-11-11,46.240002,46.250000,45.849998,46.070000,45.737602,972800
2019-11-12,46.189999,46.419998,46.099998,46.380001,46.045368,1251900
2019-11-13,46.509998,47.410000,46.270000,47.369999,47.028225,1740200
